index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
196,19082,150,0.00213736107153,0.722962382445141,2.16888714733542,0.002723845609971,0.019874893115384,6.31276293103448E-05,0.000136474252371,Medium Risk
6020,18666,151,0.002151610145341,0.727782131661442,2.18334639498433,0.002742004580704,0.02000739240282,6.35484801724138E-05,0.00013738408072,Medium Risk
182,19083,152,0.002165859219151,0.732601880877743,2.19780564263323,0.002760163551437,0.020139891690256,6.39693310344827E-05,0.000138293909069,Medium Risk
2674,18905,156,0.002222855514392,0.751880877742947,2.25564263322884,0.00283279943437,0.020669888839999,6.56527344827586E-05,0.000141933222466,Medium Risk
2982,18883,156,0.002222855514392,0.751880877742947,2.25564263322884,0.00283279943437,0.020669888839999,6.56527344827586E-05,0.000141933222466,Medium Risk
2996,18882,156,0.002222855514392,0.751880877742947,2.25564263322884,0.00283279943437,0.020669888839999,6.56527344827586E-05,0.000141933222466,Medium Risk
3010,18881,156,0.002222855514392,0.751880877742947,2.25564263322884,0.00283279943437,0.020669888839999,6.56527344827586E-05,0.000141933222466,Medium Risk
5222,18723,156,0.002222855514392,0.751880877742947,2.25564263322884,0.00283279943437,0.020669888839999,6.56527344827586E-05,0.000141933222466,Medium Risk
6048,18664,156,0.002222855514392,0.751880877742947,2.25564263322884,0.00283279943437,0.020669888839999,6.56527344827586E-05,0.000141933222466,Medium Risk
6062,18663,157,0.002237104588202,0.756700626959248,2.27010188087774,0.002850958405103,0.020802388127435,6.60735853448276E-05,0.000142843050815,Medium Risk
6076,18662,160,0.002279851809632,0.771159874608151,2.31347962382445,0.002905435317302,0.021199885989743,6.73361379310345E-05,0.000145572535862,Medium Risk
6916,18602,160,0.002279851809632,0.77115987460815,2.31347962382445,0.002905435317302,0.021199885989743,6.73361379310345E-05,0.000145572535862,Medium Risk
84,19090,163,0.002322599031063,0.785619122257053,2.35685736677116,0.002959912229502,0.021597383852051,6.85986905172414E-05,0.000148302020909,Medium Risk
532,19058,164,0.002336848104873,0.790438871473354,2.37131661442006,0.002978071200235,0.021729883139487,6.90195413793104E-05,0.000149211849259,Medium Risk
546,19057,164,0.002336848104873,0.790438871473354,2.37131661442006,0.002978071200235,0.021729883139487,6.90195413793103E-05,0.000149211849259,Medium Risk
